index,description,object_category,reference_intent,expected_behavior,candidate_granularity,candidate_ids,candidate_count,known_traits,missing_traits,expected_response,Verified
116,spur gear,gear,underspecified,clarify,physical_instance,GEAR_ROW1_LEFT|GEAR_ROW2_LEFT|GEAR_ROW2_RIGHT|GEAR_ROW3_LEFT|GEAR_ROW3_RIGHT|GEAR_ROW4_LEFT,6,technical_synonym,row_and_side_or_size,"Which row or color, and which gear in that row?",o
117,toothed wheel,gear,underspecified,clarify,physical_instance,GEAR_ROW1_LEFT|GEAR_ROW2_LEFT|GEAR_ROW2_RIGHT|GEAR_ROW3_LEFT|GEAR_ROW3_RIGHT|GEAR_ROW4_LEFT,6,shape_synonym,row_and_side_or_size,"Which row or color, and which gear in that row?",o
118,gear held by a wooden pin,gear,underspecified,clarify,physical_instance,GEAR_ROW1_LEFT|GEAR_ROW2_LEFT|GEAR_ROW2_RIGHT|GEAR_ROW3_LEFT|GEAR_ROW3_RIGHT|GEAR_ROW4_LEFT,6,retention_relationship,row_and_side_or_size,"Which row or color, and which gear in that row?",o
119,gear nearest the left stand,gear,underspecified,clarify,physical_instance,GEAR_ROW1_LEFT|GEAR_ROW2_LEFT|GEAR_ROW3_LEFT|GEAR_ROW4_LEFT,4,relationship_and_side,row_or_color,Which row or color do you mean?,o
120,gear on the right side,gear,underspecified,clarify,physical_instance,GEAR_ROW2_RIGHT|GEAR_ROW3_RIGHT,2,side,row_or_color,Do you mean the red Row 2 or green Row 3 right gear?,o
121,gear on a shaft with two pin holes,gear,underspecified,clarify,physical_instance,GEAR_ROW1_LEFT|GEAR_ROW2_LEFT|GEAR_ROW2_RIGHT|GEAR_ROW3_LEFT|GEAR_ROW3_RIGHT,5,shaft_geometry,row_and_side_or_size,"Which two-hole-shaft row, and which gear in that row?",o
122,the gears on two-hole shafts,gear,explicit_plural,return_all,physical_instance,GEAR_ROW1_LEFT|GEAR_ROW2_LEFT|GEAR_ROW2_RIGHT|GEAR_ROW3_LEFT|GEAR_ROW3_RIGHT,5,plural_shaft_geometry,none,"Return all gears carried by the Row 1, Row 2, and Row 3 shafts.",o
123,the gears nearest the left stands,gear,explicit_plural,return_all,physical_instance,GEAR_ROW1_LEFT|GEAR_ROW2_LEFT|GEAR_ROW3_LEFT|GEAR_ROW4_LEFT,4,plural_relationship,none,Return the left-side gear from each row.,o
124,transmission shaft,gear_rod,underspecified,clarify,physical_instance,GEAR_ROD_ROW1|GEAR_ROD_ROW2|GEAR_ROD_ROW3|GEAR_ROD_ROW4,4,technical_synonym,row_or_color,Which row or color shaft do you mean?,o
125,shaft between two bearing stands,gear_rod,underspecified,clarify,physical_instance,GEAR_ROD_ROW1|GEAR_ROD_ROW2|GEAR_ROD_ROW3|GEAR_ROD_ROW4,4,relationship,row_or_color,Which row or color shaft do you mean?,o
126,shaft with two pin holes,gear_rod,underspecified,clarify,physical_instance,GEAR_ROD_ROW1|GEAR_ROD_ROW2|GEAR_ROD_ROW3,3,geometry,row_or_color,"Do you mean the white Row 1, red Row 2, or green Row 3 shaft?",o
127,shaft in a row with a large gear,gear_rod,underspecified,clarify,physical_instance,GEAR_ROD_ROW1|GEAR_ROD_ROW4,2,gear_size,row_or_color,Do you mean the white Row 1 or blue Row 4 shaft?,o
128,the shafts with two pin holes,gear_rod,explicit_plural,return_all,physical_instance,GEAR_ROD_ROW1|GEAR_ROD_ROW2|GEAR_ROD_ROW3,3,plural_geometry,none,"Return the Row 1, Row 2, and Row 3 gear rods.",o
129,the rods between the stands,gear_rod,explicit_plural,return_all,physical_instance,GEAR_ROD_ROW1|GEAR_ROD_ROW2|GEAR_ROD_ROW3|GEAR_ROD_ROW4,4,plural_relationship,none,Return all four gear rods.,o
130,bearings for a two-gear row,bearing,underspecified,clarify,row_kit,BEARING_ROW2_LEFT+BEARING_ROW2_RIGHT|BEARING_ROW3_LEFT+BEARING_ROW3_RIGHT,2,gear_count,assembly_row,Are you assembling Row 2 or Row 3?,o
131,bearings from a silver-screw kit,bearing,underspecified,clarify,row_kit,BEARING_ROW1_LEFT+BEARING_ROW1_RIGHT|BEARING_ROW4_LEFT+BEARING_ROW4_RIGHT,2,screw_color,assembly_row,Are you assembling Row 1 or Row 4?,o
132,screws for a two-gear row,screw,underspecified,clarify,row_kit,SCREW_ROW2_LEFT+SCREW_ROW2_RIGHT|SCREW_ROW3_LEFT+SCREW_ROW3_RIGHT,2,gear_count,assembly_row,Are you assembling Row 2 or Row 3?,o
133,pin for a two-hole shaft,pin,underspecified,clarify,row_kit,PIN_ROW1_LEFT+PIN_ROW1_RIGHT|PIN_ROW2_LEFT+PIN_ROW2_RIGHT|PIN_ROW3_LEFT+PIN_ROW3_RIGHT,3,shaft_geometry,assembly_row,"Are you assembling Row 1, Row 2, or Row 3?",o
134,pin used during gear-rod assembly,pin,underspecified,clarify,row_kit,PIN_ROW1_LEFT+PIN_ROW1_RIGHT|PIN_ROW2_LEFT+PIN_ROW2_RIGHT|PIN_ROW3_LEFT+PIN_ROW3_RIGHT|PIN_ROW4_LEFT,4,assembly_stage,assembly_row,Which row are you assembling?,o
135,pin for a large gear,pin,underspecified,clarify,row_kit,PIN_ROW1_LEFT+PIN_ROW1_RIGHT|PIN_ROW4_LEFT,2,gear_size,assembly_row,Are you assembling Row 1 or Row 4?,o
136,pins for a black-screw row,pin,underspecified,clarify,row_kit,PIN_ROW2_LEFT+PIN_ROW2_RIGHT|PIN_ROW3_LEFT+PIN_ROW3_RIGHT,2,screw_color,assembly_row,Are you assembling Row 2 or Row 3?,o
137,row kit,row_kit,underspecified,clarify,kit_collection,BEARING_ROW1_LEFT+BEARING_ROW1_RIGHT+SCREW_ROW1_LEFT+SCREW_ROW1_RIGHT+PIN_ROW1_LEFT+PIN_ROW1_RIGHT+CRANK_HANDLE_ROW1|BEARING_ROW2_LEFT+BEARING_ROW2_RIGHT+SCREW_ROW2_LEFT+SCREW_ROW2_RIGHT+PIN_ROW2_LEFT+PIN_ROW2_RIGHT|BEARING_ROW3_LEFT+BEARING_ROW3_RIGHT+SCREW_ROW3_LEFT+SCREW_ROW3_RIGHT+PIN_ROW3_LEFT+PIN_ROW3_RIGHT|BEARING_ROW4_LEFT+BEARING_ROW4_RIGHT+SCREW_ROW4_LEFT+SCREW_ROW4_RIGHT+PIN_ROW4_LEFT,4,category,assembly_row,Which row are you assembling?,o
138,parts box,row_kit,underspecified,clarify,kit_collection,BEARING_ROW1_LEFT+BEARING_ROW1_RIGHT+SCREW_ROW1_LEFT+SCREW_ROW1_RIGHT+PIN_ROW1_LEFT+PIN_ROW1_RIGHT+CRANK_HANDLE_ROW1|BEARING_ROW2_LEFT+BEARING_ROW2_RIGHT+SCREW_ROW2_LEFT+SCREW_ROW2_RIGHT+PIN_ROW2_LEFT+PIN_ROW2_RIGHT|BEARING_ROW3_LEFT+BEARING_ROW3_RIGHT+SCREW_ROW3_LEFT+SCREW_ROW3_RIGHT+PIN_ROW3_LEFT+PIN_ROW3_RIGHT|BEARING_ROW4_LEFT+BEARING_ROW4_RIGHT+SCREW_ROW4_LEFT+SCREW_ROW4_RIGHT+PIN_ROW4_LEFT,4,storage,assembly_row,Which row are you assembling?,o
139,"box with bearings, screws, and pins",row_kit,underspecified,clarify,kit_collection,BEARING_ROW1_LEFT+BEARING_ROW1_RIGHT+SCREW_ROW1_LEFT+SCREW_ROW1_RIGHT+PIN_ROW1_LEFT+PIN_ROW1_RIGHT+CRANK_HANDLE_ROW1|BEARING_ROW2_LEFT+BEARING_ROW2_RIGHT+SCREW_ROW2_LEFT+SCREW_ROW2_RIGHT+PIN_ROW2_LEFT+PIN_ROW2_RIGHT|BEARING_ROW3_LEFT+BEARING_ROW3_RIGHT+SCREW_ROW3_LEFT+SCREW_ROW3_RIGHT+PIN_ROW3_LEFT+PIN_ROW3_RIGHT|BEARING_ROW4_LEFT+BEARING_ROW4_RIGHT+SCREW_ROW4_LEFT+SCREW_ROW4_RIGHT+PIN_ROW4_LEFT,4,contents,assembly_row,Which row are you assembling?,o
140,kit for a one-gear row,row_kit,underspecified,clarify,kit_collection,BEARING_ROW1_LEFT+BEARING_ROW1_RIGHT+SCREW_ROW1_LEFT+SCREW_ROW1_RIGHT+PIN_ROW1_LEFT+PIN_ROW1_RIGHT+CRANK_HANDLE_ROW1|BEARING_ROW4_LEFT+BEARING_ROW4_RIGHT+SCREW_ROW4_LEFT+SCREW_ROW4_RIGHT+PIN_ROW4_LEFT,2,gear_count,assembly_row,Are you assembling Row 1 or Row 4?,o
141,kit for a two-gear row,row_kit,underspecified,clarify,kit_collection,BEARING_ROW2_LEFT+BEARING_ROW2_RIGHT+SCREW_ROW2_LEFT+SCREW_ROW2_RIGHT+PIN_ROW2_LEFT+PIN_ROW2_RIGHT|BEARING_ROW3_LEFT+BEARING_ROW3_RIGHT+SCREW_ROW3_LEFT+SCREW_ROW3_RIGHT+PIN_ROW3_LEFT+PIN_ROW3_RIGHT,2,gear_count,assembly_row,Are you assembling Row 2 or Row 3?,o
142,kit with silver screws,row_kit,underspecified,clarify,kit_collection,BEARING_ROW1_LEFT+BEARING_ROW1_RIGHT+SCREW_ROW1_LEFT+SCREW_ROW1_RIGHT+PIN_ROW1_LEFT+PIN_ROW1_RIGHT+CRANK_HANDLE_ROW1|BEARING_ROW4_LEFT+BEARING_ROW4_RIGHT+SCREW_ROW4_LEFT+SCREW_ROW4_RIGHT+PIN_ROW4_LEFT,2,screw_color,assembly_row,Do you mean the Row 1 or Row 4 kit?,o
143,kit with black screws,row_kit,underspecified,clarify,kit_collection,BEARING_ROW2_LEFT+BEARING_ROW2_RIGHT+SCREW_ROW2_LEFT+SCREW_ROW2_RIGHT+PIN_ROW2_LEFT+PIN_ROW2_RIGHT|BEARING_ROW3_LEFT+BEARING_ROW3_RIGHT+SCREW_ROW3_LEFT+SCREW_ROW3_RIGHT+PIN_ROW3_LEFT+PIN_ROW3_RIGHT,2,screw_color,assembly_row,Do you mean the Row 2 or Row 3 kit?,o
144,the kits for the two-gear rows,row_kit,explicit_plural,return_all,kit_collection,BEARING_ROW2_LEFT+BEARING_ROW2_RIGHT+SCREW_ROW2_LEFT+SCREW_ROW2_RIGHT+PIN_ROW2_LEFT+PIN_ROW2_RIGHT|BEARING_ROW3_LEFT+BEARING_ROW3_RIGHT+SCREW_ROW3_LEFT+SCREW_ROW3_RIGHT+PIN_ROW3_LEFT+PIN_ROW3_RIGHT,2,plural_gear_count,none,Return the Row 2 and Row 3 kits.,o
145,the row kits,row_kit,explicit_plural,return_all,kit_collection,BEARING_ROW1_LEFT+BEARING_ROW1_RIGHT+SCREW_ROW1_LEFT+SCREW_ROW1_RIGHT+PIN_ROW1_LEFT+PIN_ROW1_RIGHT+CRANK_HANDLE_ROW1|BEARING_ROW2_LEFT+BEARING_ROW2_RIGHT+SCREW_ROW2_LEFT+SCREW_ROW2_RIGHT+PIN_ROW2_LEFT+PIN_ROW2_RIGHT|BEARING_ROW3_LEFT+BEARING_ROW3_RIGHT+SCREW_ROW3_LEFT+SCREW_ROW3_RIGHT+PIN_ROW3_LEFT+PIN_ROW3_RIGHT|BEARING_ROW4_LEFT+BEARING_ROW4_RIGHT+SCREW_ROW4_LEFT+SCREW_ROW4_RIGHT+PIN_ROW4_LEFT,4,explicit_plural,none,Return all four row kits.,o
