index,description,object_category,reference_intent,expected_behavior,candidate_granularity,candidate_ids,candidate_count,known_traits,missing_traits,expected_response,Verified
120,pin from a black-screw row,pin,underspecified,clarify,row_kit,PIN_ROW2_LEFT+PIN_ROW2_RIGHT|PIN_ROW3_LEFT+PIN_ROW3_RIGHT,2,screw_color,assembly_row,Are you assembling Row 2 or Row 3?,o
121,the Row 1 pins,pin,collective_group,return_group,row_kit,PIN_ROW1_LEFT+PIN_ROW1_RIGHT,1,explicit_row_group,none,Return the required pins from the Row 1 kit without distinguishing sides.,x
122,the Row 2 pins,pin,collective_group,return_group,row_kit,PIN_ROW2_LEFT+PIN_ROW2_RIGHT,1,explicit_row_group,none,Return the required pins from the Row 2 kit without distinguishing sides.,x
123,the Row 3 pins,pin,collective_group,return_group,row_kit,PIN_ROW3_LEFT+PIN_ROW3_RIGHT,1,explicit_row_group,none,Return the required pins from the Row 3 kit without distinguishing sides.,x
124,the Row 4 pins,pin,collective_group,return_group,row_kit,PIN_ROW4_LEFT,1,explicit_row_group,none,Return the required pins from the Row 4 kit without distinguishing sides.,x
125,bearing pedestal,gear_stand,underspecified,clarify,physical_instance,STAND_ROW1_LEFT|STAND_ROW1_RIGHT|STAND_ROW2_LEFT|STAND_ROW2_RIGHT|STAND_ROW3_LEFT|STAND_ROW3_RIGHT|STAND_ROW4_LEFT|STAND_ROW4_RIGHT,8,technical_synonym,row_and_side,"Which row or color, and which side?",o
126,bearing holder,gear_stand,underspecified,clarify,physical_instance,STAND_ROW1_LEFT|STAND_ROW1_RIGHT|STAND_ROW2_LEFT|STAND_ROW2_RIGHT|STAND_ROW3_LEFT|STAND_ROW3_RIGHT|STAND_ROW4_LEFT|STAND_ROW4_RIGHT,8,functional_synonym,row_and_side,"Which row or color, and which side?",o
127,stand with a bearing recess,gear_stand,underspecified,clarify,physical_instance,STAND_ROW1_LEFT|STAND_ROW1_RIGHT|STAND_ROW2_LEFT|STAND_ROW2_RIGHT|STAND_ROW3_LEFT|STAND_ROW3_RIGHT|STAND_ROW4_LEFT|STAND_ROW4_RIGHT,8,geometry,row_and_side,"Which row or color, and which side?",o
128,one of the bearing pedestals,gear_stand,underspecified,clarify,physical_instance,STAND_ROW1_LEFT|STAND_ROW1_RIGHT|STAND_ROW2_LEFT|STAND_ROW2_RIGHT|STAND_ROW3_LEFT|STAND_ROW3_RIGHT|STAND_ROW4_LEFT|STAND_ROW4_RIGHT,8,indefinite_synonym,row_and_side,"Which row or color, and which side?",o
129,first stand,gear_stand,underspecified,clarify,physical_instance,STAND_ROW1_RIGHT|STAND_ROW2_RIGHT|STAND_ROW3_RIGHT|STAND_ROW4_RIGHT,4,assembly_sequence,row_or_color,Which row or color right stand do you mean?,x
130,stand assembled first,gear_stand,underspecified,clarify,physical_instance,STAND_ROW1_RIGHT|STAND_ROW2_RIGHT|STAND_ROW3_RIGHT|STAND_ROW4_RIGHT,4,assembly_sequence,row_or_color,Which row or color right stand do you mean?,x
131,Stage 1 stand,gear_stand,underspecified,clarify,physical_instance,STAND_ROW1_RIGHT|STAND_ROW2_RIGHT|STAND_ROW3_RIGHT|STAND_ROW4_RIGHT,4,assembly_sequence,row_or_color,Which row or color right stand do you mean?,x
132,second stand,gear_stand,underspecified,clarify,physical_instance,STAND_ROW1_LEFT|STAND_ROW2_LEFT|STAND_ROW3_LEFT|STAND_ROW4_LEFT,4,assembly_sequence,row_or_color,Which row or color left stand do you mean?,x
133,stand fitted after the rod,gear_stand,underspecified,clarify,physical_instance,STAND_ROW1_LEFT|STAND_ROW2_LEFT|STAND_ROW3_LEFT|STAND_ROW4_LEFT,4,assembly_sequence,row_or_color,Which row or color left stand do you mean?,x
134,Stage 3 stand,gear_stand,underspecified,clarify,physical_instance,STAND_ROW1_LEFT|STAND_ROW2_LEFT|STAND_ROW3_LEFT|STAND_ROW4_LEFT,4,assembly_sequence,row_or_color,Which row or color left stand do you mean?,x
135,stand without the extra through-hole,gear_stand,underspecified,clarify,physical_instance,STAND_ROW1_LEFT|STAND_ROW2_LEFT|STAND_ROW2_RIGHT|STAND_ROW3_LEFT|STAND_ROW3_RIGHT|STAND_ROW4_LEFT|STAND_ROW4_RIGHT,7,geometry,row_and_side,"Which row or color, and which side?",o
136,the first stands,gear_stand,explicit_plural,return_all,physical_instance,STAND_ROW1_RIGHT|STAND_ROW2_RIGHT|STAND_ROW3_RIGHT|STAND_ROW4_RIGHT,4,plural_assembly_sequence,none,Return all four right stands assembled first.,x
137,the second stands,gear_stand,explicit_plural,return_all,physical_instance,STAND_ROW1_LEFT|STAND_ROW2_LEFT|STAND_ROW3_LEFT|STAND_ROW4_LEFT,4,plural_assembly_sequence,none,Return all four left stands fitted second.,x
138,spur gear,gear,underspecified,clarify,physical_instance,GEAR_ROW1_LEFT|GEAR_ROW2_LEFT|GEAR_ROW2_RIGHT|GEAR_ROW3_LEFT|GEAR_ROW3_RIGHT|GEAR_ROW4_LEFT,6,technical_synonym,row_and_side_or_size,"Which row or color, and which gear in that row?",o
139,toothed wheel,gear,underspecified,clarify,physical_instance,GEAR_ROW1_LEFT|GEAR_ROW2_LEFT|GEAR_ROW2_RIGHT|GEAR_ROW3_LEFT|GEAR_ROW3_RIGHT|GEAR_ROW4_LEFT,6,shape_synonym,row_and_side_or_size,"Which row or color, and which gear in that row?",o
140,gear held by a wooden pin,gear,underspecified,clarify,physical_instance,GEAR_ROW1_LEFT|GEAR_ROW2_LEFT|GEAR_ROW2_RIGHT|GEAR_ROW3_LEFT|GEAR_ROW3_RIGHT|GEAR_ROW4_LEFT,6,retention_relationship,row_and_side_or_size,"Which row or color, and which gear in that row?",o
141,gear nearest the left stand,gear,underspecified,clarify,physical_instance,GEAR_ROW1_LEFT|GEAR_ROW2_LEFT|GEAR_ROW3_LEFT|GEAR_ROW4_LEFT,4,relationship_and_side,row_or_color,Which row or color do you mean?,o
142,gear on the right side,gear,underspecified,clarify,physical_instance,GEAR_ROW2_RIGHT|GEAR_ROW3_RIGHT,2,side,row_or_color,Do you mean the red Row 2 or green Row 3 right gear?,o
143,gear on a shaft with two pin holes,gear,underspecified,clarify,physical_instance,GEAR_ROW1_LEFT|GEAR_ROW2_LEFT|GEAR_ROW2_RIGHT|GEAR_ROW3_LEFT|GEAR_ROW3_RIGHT,5,shaft_geometry,row_and_side_or_size,"Which two-hole-shaft row, and which gear in that row?",o
144,the gears on two-hole shafts,gear,explicit_plural,return_all,physical_instance,GEAR_ROW1_LEFT|GEAR_ROW2_LEFT|GEAR_ROW2_RIGHT|GEAR_ROW3_LEFT|GEAR_ROW3_RIGHT,5,plural_shaft_geometry,none,"Return all gears carried by the Row 1, Row 2, and Row 3 shafts.",o
145,the gears nearest the left stands,gear,explicit_plural,return_all,physical_instance,GEAR_ROW1_LEFT|GEAR_ROW2_LEFT|GEAR_ROW3_LEFT|GEAR_ROW4_LEFT,4,plural_relationship,none,Return the left-side gear from each row.,o
146,transmission shaft,gear_rod,underspecified,clarify,physical_instance,GEAR_ROD_ROW1|GEAR_ROD_ROW2|GEAR_ROD_ROW3|GEAR_ROD_ROW4,4,technical_synonym,row_or_color,Which row or color shaft do you mean?,o
147,shaft between two bearing stands,gear_rod,underspecified,clarify,physical_instance,GEAR_ROD_ROW1|GEAR_ROD_ROW2|GEAR_ROD_ROW3|GEAR_ROD_ROW4,4,relationship,row_or_color,Which row or color shaft do you mean?,o
148,shaft with two pin holes,gear_rod,underspecified,clarify,physical_instance,GEAR_ROD_ROW1|GEAR_ROD_ROW2|GEAR_ROD_ROW3,3,geometry,row_or_color,"Do you mean the white Row 1, red Row 2, or green Row 3 shaft?",o
149,shaft in a row with a large gear,gear_rod,underspecified,clarify,physical_instance,GEAR_ROD_ROW1|GEAR_ROD_ROW4,2,gear_size,row_or_color,Do you mean the white Row 1 or blue Row 4 shaft?,o
150,the shafts with two pin holes,gear_rod,explicit_plural,return_all,physical_instance,GEAR_ROD_ROW1|GEAR_ROD_ROW2|GEAR_ROD_ROW3,3,plural_geometry,none,"Return the Row 1, Row 2, and Row 3 gear rods.",o
151,the rods between the stands,gear_rod,explicit_plural,return_all,physical_instance,GEAR_ROD_ROW1|GEAR_ROD_ROW2|GEAR_ROD_ROW3|GEAR_ROD_ROW4,4,plural_relationship,none,Return all four gear rods.,o
152,bearing needed at Stage 1,bearing,underspecified,clarify,row_kit,BEARING_ROW1_LEFT+BEARING_ROW1_RIGHT|BEARING_ROW2_LEFT+BEARING_ROW2_RIGHT|BEARING_ROW3_LEFT+BEARING_ROW3_RIGHT|BEARING_ROW4_LEFT+BEARING_ROW4_RIGHT,4,stage,assembly_row,Which row are you assembling?,x
153,bearing used before shaft insertion,bearing,underspecified,clarify,row_kit,BEARING_ROW1_LEFT+BEARING_ROW1_RIGHT|BEARING_ROW2_LEFT+BEARING_ROW2_RIGHT|BEARING_ROW3_LEFT+BEARING_ROW3_RIGHT|BEARING_ROW4_LEFT+BEARING_ROW4_RIGHT,4,assembly_sequence,assembly_row,Which row are you assembling?,x
154,bearings for a two-gear row,bearing,underspecified,clarify,row_kit,BEARING_ROW2_LEFT+BEARING_ROW2_RIGHT|BEARING_ROW3_LEFT+BEARING_ROW3_RIGHT,2,gear_count,assembly_row,Are you assembling Row 2 or Row 3?,o
155,bearings from a silver-screw kit,bearing,underspecified,clarify,row_kit,BEARING_ROW1_LEFT+BEARING_ROW1_RIGHT|BEARING_ROW4_LEFT+BEARING_ROW4_RIGHT,2,screw_color,assembly_row,Are you assembling Row 1 or Row 4?,o
156,Stage 4 screw,screw,underspecified,clarify,row_kit,SCREW_ROW1_LEFT+SCREW_ROW1_RIGHT|SCREW_ROW2_LEFT+SCREW_ROW2_RIGHT|SCREW_ROW3_LEFT+SCREW_ROW3_RIGHT|SCREW_ROW4_LEFT+SCREW_ROW4_RIGHT,4,stage,assembly_row,"Which row are you assembling, or which screw drive do you need?",x
157,screw for the first stand,screw,underspecified,clarify,row_kit,SCREW_ROW1_LEFT+SCREW_ROW1_RIGHT|SCREW_ROW2_LEFT+SCREW_ROW2_RIGHT|SCREW_ROW3_LEFT+SCREW_ROW3_RIGHT|SCREW_ROW4_LEFT+SCREW_ROW4_RIGHT,4,assembly_sequence,assembly_row,"Which row are you assembling, or which screw drive do you need?",x
158,screw used after rod insertion,screw,underspecified,clarify,row_kit,SCREW_ROW1_LEFT+SCREW_ROW1_RIGHT|SCREW_ROW2_LEFT+SCREW_ROW2_RIGHT|SCREW_ROW3_LEFT+SCREW_ROW3_RIGHT|SCREW_ROW4_LEFT+SCREW_ROW4_RIGHT,4,assembly_sequence,assembly_row,"Which row are you assembling, or which screw drive do you need?",x
159,screws for a two-gear row,screw,underspecified,clarify,row_kit,SCREW_ROW2_LEFT+SCREW_ROW2_RIGHT|SCREW_ROW3_LEFT+SCREW_ROW3_RIGHT,2,gear_count,assembly_row,Are you assembling Row 2 or Row 3?,o
160,pin for a two-hole shaft,pin,underspecified,clarify,row_kit,PIN_ROW1_LEFT+PIN_ROW1_RIGHT|PIN_ROW2_LEFT+PIN_ROW2_RIGHT|PIN_ROW3_LEFT+PIN_ROW3_RIGHT,3,shaft_geometry,assembly_row,"Are you assembling Row 1, Row 2, or Row 3?",o
161,pin used during gear-rod assembly,pin,underspecified,clarify,row_kit,PIN_ROW1_LEFT+PIN_ROW1_RIGHT|PIN_ROW2_LEFT+PIN_ROW2_RIGHT|PIN_ROW3_LEFT+PIN_ROW3_RIGHT|PIN_ROW4_LEFT,4,assembly_stage,assembly_row,Which row are you assembling?,o
162,pin for a large gear,pin,underspecified,clarify,row_kit,PIN_ROW1_LEFT+PIN_ROW1_RIGHT|PIN_ROW4_LEFT,2,gear_size,assembly_row,Are you assembling Row 1 or Row 4?,o
163,pins for a black-screw row,pin,underspecified,clarify,row_kit,PIN_ROW2_LEFT+PIN_ROW2_RIGHT|PIN_ROW3_LEFT+PIN_ROW3_RIGHT,2,screw_color,assembly_row,Are you assembling Row 2 or Row 3?,o
164,row kit,row_kit,underspecified,clarify,kit_collection,BEARING_ROW1_LEFT+BEARING_ROW1_RIGHT+SCREW_ROW1_LEFT+SCREW_ROW1_RIGHT+PIN_ROW1_LEFT+PIN_ROW1_RIGHT+CRANK_HANDLE_ROW1|BEARING_ROW2_LEFT+BEARING_ROW2_RIGHT+SCREW_ROW2_LEFT+SCREW_ROW2_RIGHT+PIN_ROW2_LEFT+PIN_ROW2_RIGHT|BEARING_ROW3_LEFT+BEARING_ROW3_RIGHT+SCREW_ROW3_LEFT+SCREW_ROW3_RIGHT+PIN_ROW3_LEFT+PIN_ROW3_RIGHT|BEARING_ROW4_LEFT+BEARING_ROW4_RIGHT+SCREW_ROW4_LEFT+SCREW_ROW4_RIGHT+PIN_ROW4_LEFT,4,category,assembly_row,Which row are you assembling?,o
165,parts box,row_kit,underspecified,clarify,kit_collection,BEARING_ROW1_LEFT+BEARING_ROW1_RIGHT+SCREW_ROW1_LEFT+SCREW_ROW1_RIGHT+PIN_ROW1_LEFT+PIN_ROW1_RIGHT+CRANK_HANDLE_ROW1|BEARING_ROW2_LEFT+BEARING_ROW2_RIGHT+SCREW_ROW2_LEFT+SCREW_ROW2_RIGHT+PIN_ROW2_LEFT+PIN_ROW2_RIGHT|BEARING_ROW3_LEFT+BEARING_ROW3_RIGHT+SCREW_ROW3_LEFT+SCREW_ROW3_RIGHT+PIN_ROW3_LEFT+PIN_ROW3_RIGHT|BEARING_ROW4_LEFT+BEARING_ROW4_RIGHT+SCREW_ROW4_LEFT+SCREW_ROW4_RIGHT+PIN_ROW4_LEFT,4,storage,assembly_row,Which row are you assembling?,o
166,hardware kit,row_kit,underspecified,clarify,kit_collection,BEARING_ROW1_LEFT+BEARING_ROW1_RIGHT+SCREW_ROW1_LEFT+SCREW_ROW1_RIGHT+PIN_ROW1_LEFT+PIN_ROW1_RIGHT+CRANK_HANDLE_ROW1|BEARING_ROW2_LEFT+BEARING_ROW2_RIGHT+SCREW_ROW2_LEFT+SCREW_ROW2_RIGHT+PIN_ROW2_LEFT+PIN_ROW2_RIGHT|BEARING_ROW3_LEFT+BEARING_ROW3_RIGHT+SCREW_ROW3_LEFT+SCREW_ROW3_RIGHT+PIN_ROW3_LEFT+PIN_ROW3_RIGHT|BEARING_ROW4_LEFT+BEARING_ROW4_RIGHT+SCREW_ROW4_LEFT+SCREW_ROW4_RIGHT+PIN_ROW4_LEFT,4,category_synonym,assembly_row,Which row are you assembling?,x
167,"box with bearings, screws, and pins",row_kit,underspecified,clarify,kit_collection,BEARING_ROW1_LEFT+BEARING_ROW1_RIGHT+SCREW_ROW1_LEFT+SCREW_ROW1_RIGHT+PIN_ROW1_LEFT+PIN_ROW1_RIGHT+CRANK_HANDLE_ROW1|BEARING_ROW2_LEFT+BEARING_ROW2_RIGHT+SCREW_ROW2_LEFT+SCREW_ROW2_RIGHT+PIN_ROW2_LEFT+PIN_ROW2_RIGHT|BEARING_ROW3_LEFT+BEARING_ROW3_RIGHT+SCREW_ROW3_LEFT+SCREW_ROW3_RIGHT+PIN_ROW3_LEFT+PIN_ROW3_RIGHT|BEARING_ROW4_LEFT+BEARING_ROW4_RIGHT+SCREW_ROW4_LEFT+SCREW_ROW4_RIGHT+PIN_ROW4_LEFT,4,contents,assembly_row,Which row are you assembling?,o
168,kit for a one-gear row,row_kit,underspecified,clarify,kit_collection,BEARING_ROW1_LEFT+BEARING_ROW1_RIGHT+SCREW_ROW1_LEFT+SCREW_ROW1_RIGHT+PIN_ROW1_LEFT+PIN_ROW1_RIGHT+CRANK_HANDLE_ROW1|BEARING_ROW4_LEFT+BEARING_ROW4_RIGHT+SCREW_ROW4_LEFT+SCREW_ROW4_RIGHT+PIN_ROW4_LEFT,2,gear_count,assembly_row,Are you assembling Row 1 or Row 4?,o
169,kit for a two-gear row,row_kit,underspecified,clarify,kit_collection,BEARING_ROW2_LEFT+BEARING_ROW2_RIGHT+SCREW_ROW2_LEFT+SCREW_ROW2_RIGHT+PIN_ROW2_LEFT+PIN_ROW2_RIGHT|BEARING_ROW3_LEFT+BEARING_ROW3_RIGHT+SCREW_ROW3_LEFT+SCREW_ROW3_RIGHT+PIN_ROW3_LEFT+PIN_ROW3_RIGHT,2,gear_count,assembly_row,Are you assembling Row 2 or Row 3?,o
170,kit with silver screws,row_kit,underspecified,clarify,kit_collection,BEARING_ROW1_LEFT+BEARING_ROW1_RIGHT+SCREW_ROW1_LEFT+SCREW_ROW1_RIGHT+PIN_ROW1_LEFT+PIN_ROW1_RIGHT+CRANK_HANDLE_ROW1|BEARING_ROW4_LEFT+BEARING_ROW4_RIGHT+SCREW_ROW4_LEFT+SCREW_ROW4_RIGHT+PIN_ROW4_LEFT,2,screw_color,assembly_row,Do you mean the Row 1 or Row 4 kit?,o
171,kit with black screws,row_kit,underspecified,clarify,kit_collection,BEARING_ROW2_LEFT+BEARING_ROW2_RIGHT+SCREW_ROW2_LEFT+SCREW_ROW2_RIGHT+PIN_ROW2_LEFT+PIN_ROW2_RIGHT|BEARING_ROW3_LEFT+BEARING_ROW3_RIGHT+SCREW_ROW3_LEFT+SCREW_ROW3_RIGHT+PIN_ROW3_LEFT+PIN_ROW3_RIGHT,2,screw_color,assembly_row,Do you mean the Row 2 or Row 3 kit?,o
172,the kits for the two-gear rows,row_kit,explicit_plural,return_all,kit_collection,BEARING_ROW2_LEFT+BEARING_ROW2_RIGHT+SCREW_ROW2_LEFT+SCREW_ROW2_RIGHT+PIN_ROW2_LEFT+PIN_ROW2_RIGHT|BEARING_ROW3_LEFT+BEARING_ROW3_RIGHT+SCREW_ROW3_LEFT+SCREW_ROW3_RIGHT+PIN_ROW3_LEFT+PIN_ROW3_RIGHT,2,plural_gear_count,none,Return the Row 2 and Row 3 kits.,o
173,the row kits,row_kit,explicit_plural,return_all,kit_collection,BEARING_ROW1_LEFT+BEARING_ROW1_RIGHT+SCREW_ROW1_LEFT+SCREW_ROW1_RIGHT+PIN_ROW1_LEFT+PIN_ROW1_RIGHT+CRANK_HANDLE_ROW1|BEARING_ROW2_LEFT+BEARING_ROW2_RIGHT+SCREW_ROW2_LEFT+SCREW_ROW2_RIGHT+PIN_ROW2_LEFT+PIN_ROW2_RIGHT|BEARING_ROW3_LEFT+BEARING_ROW3_RIGHT+SCREW_ROW3_LEFT+SCREW_ROW3_RIGHT+PIN_ROW3_LEFT+PIN_ROW3_RIGHT|BEARING_ROW4_LEFT+BEARING_ROW4_RIGHT+SCREW_ROW4_LEFT+SCREW_ROW4_RIGHT+PIN_ROW4_LEFT,4,explicit_plural,none,Return all four row kits.,o
